"Exports & Imports by NAICS Commodities by country 2024"
"Current date: 04/03/2025 3:28 AM (Eastern Daylight Time)"
"Commodity: All Commodities"
"District: All Districts Total"
"Time: 2024"
"Country","Total Exports Value ($US)","Domestic Exports Value ($US)","Foreign Exports Value ($US)","Customs Import Value (Gen) ($US)","CIF Import Value (Gen) ($US)","Customs Import Value (Cons) ($US)","CIF Import Value (Cons) ($US)","Balance ($US)",
"Lithuania","1,929,089,639","1,797,928,440","131,161,199","2,011,564,192","2,083,883,577","2,038,691,136","2,111,089,507","-82,474,553"
"Luxembourg","1,136,895,363","1,019,860,270","117,035,093","698,625,976","721,855,977","710,939,306","735,078,201","438,269,387"
"Macau","275,141,629","245,991,358","29,150,271","108,792,661","111,944,056","113,123,643","116,416,844","166,348,968"
"Macedonia","60,635,165","54,376,468","6,258,697","173,710,793","179,324,638","170,594,814","176,182,626","-113,075,628"
"Madagascar","53,407,211","48,675,109","4,732,102","733,215,493","753,233,368","736,767,418","756,811,780","-679,808,282"
"Malawi","26,940,731","25,217,755","1,722,976","41,054,610","43,010,402","40,951,827","42,908,623","-14,113,879"
"Malaysia","27,704,750,827","21,671,850,957","6,032,899,870","52,534,847,955","53,849,455,892","51,681,688,075","53,030,505,259","-24,830,097,128"
"Maldives","92,612,024","81,434,997","11,177,027","4,765,289","6,362,152","4,765,289","6,362,511","87,846,735"
"Mali","51,496,789","47,735,253","3,761,536","5,500,278","5,677,822","5,501,056","5,678,636","45,996,511"
"Malta","360,821,866","141,874,631","218,947,235","220,446,394","224,209,967","210,745,420","214,666,656","140,375,472"
"Marshall Islands","127,426,248","126,470,413","955,835","20,448,963","23,186,951","20,448,963","23,186,951","106,977,285"
"Martinique","199,161,662","190,141,213","9,020,449","2,807,758","2,864,761","2,688,572","2,741,784","196,353,904"
"Mauritania","139,755,555","130,261,336","9,494,219","2,854,898","2,921,336","2,804,140","2,870,573","136,900,657"
"Mauritius","47,991,040","41,598,226","6,392,814","234,519,911","244,787,791","235,034,124","245,316,219","-186,528,871"
"Mayotte","1,817,609","971,849","845,760","1,889,710","1,907,041","1,889,710","1,907,041","-72,101"
"Mexico","334,041,359,045","249,766,334,996","84,275,024,049","505,850,598,583","509,986,323,933","503,806,119,292","507,924,852,265","-171,809,239,538"
"Micronesia","50,489,582","47,666,418","2,823,164","2,440,090","2,470,118","2,440,090","2,470,118","48,049,492"
"Moldova","53,629,683","50,367,496","3,262,187","136,495,167","142,049,346","125,952,939","131,386,093","-82,865,484"
"Monaco","162,798,791","29,466,732","133,332,059","47,589,664","48,573,676","45,198,682","46,149,141","115,209,127"
"Mongolia","396,615,463","381,927,881","14,687,582","26,977,440","27,542,852","26,977,440","27,542,852","369,638,023"
