Errors,Blunders,Moves,Eq Move,Cost Move,Double Errors,Double Blunders,Doubles,Eq Double,Cost Double,Take Errors,Take Blunders,Takes,Eq Take,Cost Take,Eq Wrong Double,Cost Wrong Double,Eq Wrong Take,Cost Wrong Take,Outplay,Resign Errors,Resign Blunders,Eq Resign,Cost Resign,Take Resign Errors,Take Resign Blunders,Eq Take Resign,Cost Take Resign,Jokers,Anti Jokers,Rolls,Luck,Cost luck,Date,Score,Opp Score,Match Length,Result,Eq per Decision,Checker play,Cube play,Elo Level,Level,Opp Elo,Opp Eq per move,Opp mwc,Variation,Rated,Games,Opp Decisions,Double,Roll,Opp Double,Opp Roll
13,8,47,-1.351,-0.1667,1,0,6,-0.042,-0.0036,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,11,111,2.177,0.4733,20/09/2014 17:28,5,2,5,1,-0.0253,-0.0288,-0.0052,1605,Intermediate,1780,-0.0408,-0.2585,0,1,4,60,13,57,7,55
10,5,63,-1.168,-0.0988,1,0,13,-0.031,-0.0023,1,1,1,-0.146,-0.0113,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,138,3.416,0.371,20/09/2014 17:04,6,1,5,1,-0.0175,-0.0185,-0.0127,1759,Advanced,1780,-0.0283,-0.1965,0,1,6,75,13,69,17,70
14,11,53,-1.909,-0.2597,1,1,8,-0.271,-0.0214,0,0,2,0,0,-0.271,-0.0214,0,0,0,0,0,0,0,0,0,0,0,10,12,116,1.286,0.5117,20/09/2014 13:40,5,1,5,1,-0.0346,-0.036,-0.0271,1421,Intermediate,1780,-0.0384,-0.2367,0,1,3,61,10,59,13,57
8,5,35,-1.074,-0.1427,5,5,7,-0.909,-0.0663,0,0,1,0,0,-0.502,-0.0362,0,0,0,0,0,0,0,0,0,0,0,14,9,82,2.638,0.4809,20/09/2014 13:16,5,1,5,1,-0.0461,-0.0307,-0.1136,1205,Beginner,1780,-0.0485,-0.203,0,1,3,42,11,40,5,41
5,2,22,-0.449,-0.0901,2,1,4,-0.237,-0.0297,0,0,1,0,0,-0.047,-0.0059,0,0,0,0,0,0,0,0,0,0,0,1,1,47,-0.361,0.0659,20/09/2014 13:01,3,1,3,1,-0.0254,-0.0204,-0.0474,1604,Intermediate,1780,-0.0639,-0.1912,0,1,3,25,5,24,4,23
10,5,57,-0.972,-0.1623,4,2,13,-0.356,-0.0434,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,117,1.93,0.4008,20/09/2014 12:54,3,1,3,1,-0.0187,-0.0171,-0.0254,1736,Advanced,1780,-0.0305,-0.307,0,1,4,62,13,60,11,61
21,7,101,-1.717,-0.296,3,2,16,-0.276,-0.0408,3,3,4,-0.603,-0.054,-0.027,-0.0042,-0.298,-0.0221,0,0,0,0,0,0,0,0,0,16,19,271,-0.412,-0.1048,20/09/2014 9:01,3,6,5,0,-0.0215,-0.017,-0.0439,1682,Advanced,1780,-0.0028,-0.0641,0,1,6,137,28,136,19,137
5,1,23,-0.66,-0.061,1,1,2,-0.218,-0.0161,1,1,3,-0.62,-0.0479,-0.218,-0.0161,0,0,0,0,0,0,0,0,0,0,0,2,3,60,-1.412,-0.6336,20/09/2014 8:39,0,5,5,0,-0.0535,-0.0287,-0.1675,1083,Beginner,1780,-0.0463,-0.2374,0,1,2,35,5,31,5,30
5,1,29,-0.419,-0.0969,2,2,4,-0.275,-0.0306,0,0,0,0,0,-0.275,-0.0306,0,0,0,0,0,0,0,0,0,0,0,7,3,66,3.295,0.5443,20/09/2014 8:26,3,0,3,1,-0.021,-0.0144,-0.0687,1691,Advanced,1780,-0.0201,-0.1031,0,1,3,35,10,32,6,32
4,4,24,-0.789,-0.2631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,54,1.389,0.6946,20/09/2014 8:18,1,0,1,1,-0.0329,-0.0329,0,1455,Intermediate,1780,-0.0009,-0.0077,0,1,1,25,6,26,4,27
26,17,134,-3.722,-0.9175,2,1,9,-0.189,-0.0139,0,0,2,0,0,-0.038,-0.0027,0,0,0,0,0,0,0,0,0,0,0,8,9,280,2.865,0.6619,20/09/2014 8:09,5,4,5,1,-0.027,-0.0278,-0.0172,1573,Intermediate,1780,-0.0294,-0.75,0,1,7,137,17,154,28,154
12,7,66,-1.134,-0.2083,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,180,0.426,-0.2955,20/09/2014 7:26,2,5,5,0,-0.0157,-0.0172,0,1792,Advanced,1780,-0.0007,-0.0157,0,1,3,90,17,96,11,95
5,3,37,-0.425,-0.1033,2,0,8,-0.089,-0.0128,0,0,0,0,0,-0.04,-0.004,0,0,0,0,0,0,0,0,0,0,0,7,5,96,0.886,0.3598,14/09/2014 18:53,3,1,3,1,-0.0114,-0.0115,-0.0112,1872,Expert,1780,-0.0175,-0.2218,0,1,3,71,6,52,9,52
7,2,52,-0.453,-0.0915,0,0,2,0,0,1,0,1,-0.032,-0.0032,0,0,-0.032,-0.0032,0,0,0,0,0,0,0,0,0,4,4,115,-3.17,-0.6309,14/09/2014 18:32,0,3,3,0,-0.0088,-0.0087,-0.0106,1918,World Class,1780,-0.0245,-0.2563,0,1,2,45,10,62,8,64
10,2,48,-0.72,-0.1732,2,0,2,-0.112,-0.0112,0,0,0,0,0,-0.036,-0.0036,0,0,0,0,0,0,0,0,0,0,0,4,3,114,1.558,0.2785,3/09/2014 9:15,4,0,3,1,-0.0166,-0.015,-0.056,1775,Advanced,1780,-0.0433,-0.382,0,1,2,48,11,58,8,58
32,16,101,-3.973,-0.5047,3,0,13,-0.132,-0.016,1,1,5,-0.233,-0.0176,0,0,-0.233,-0.0176,0,0,0,0,0,0,0,0,0,22,26,249,-0.49,0.4603,30/08/2014 16:58,9,5,7,1,-0.0365,-0.0393,-0.0202,1385,Casual Player,1780,-0.0414,-0.5642,0,1,7,129,32,127,24,127
21,8,92,-2.371,-0.2614,5,3,22,-0.57,-0.048,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,206,4.998,0.5857,30/08/2014 16:10,7,2,7,1,-0.0254,-0.0258,-0.0238,1605,Intermediate,1780,-0.0257,-0.2221,0,1,5,84,18,102,17,103
10,6,37,-1.181,-0.1122,1,1,10,-0.166,-0.0092,0,0,2,0,0,-0.148,-0.008,0,0,0,0,0,0,0,0,0,0,0,2,10,107,-5.731,-0.488,30/08/2014 15:43,0,7,7,0,-0.0275,-0.0319,-0.0138,1562,Intermediate,1780,-0.0326,-0.1066,0,1,3,54,9,53,12,53
5,3,46,-0.854,-0.1173,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,107,3.295,0.4143,30/08/2014 15:28,5,0,5,1,-0.0171,-0.0186,0,1767,Advanced,1780,-0.0292,-0.1798,0,1,3,48,13,54,15,55
15,7,75,-1.443,-0.2176,3,0,17,-0.146,-0.0139,0,0,1,0,0,-0.023,-0.0017,0,0,0,0,0,0,0,0,0,0,0,7,12,179,-2.34,0.2956,30/08/2014 15:15,9,3,5,1,-0.0171,-0.0192,-0.0081,1767,Advanced,1780,-0.0417,-0.3833,0,1,5,88,14,93,17,92
3,0,16,-0.204,-0.0212,1,0,9,-0.072,-0.0055,0,0,1,0,0,-0.072,-0.0055,0,0,0,0,0,0,0,0,0,0,0,3,1,41,1.287,0.51,30/08/2014 14:44,8,0,5,1,-0.0106,-0.0128,-0.0072,1887,Expert,1780,-0.0107,-0.0255,0,1,1,24,5,20,2,20
6,3,37,-0.44,-0.1056,2,1,4,-0.45,-0.0555,0,0,0,0,0,-0.413,-0.0518,0,0,0,0,0,0,0,0,0,0,0,3,0,78,2.936,0.4623,30/08/2014 11:17,3,0,3,1,-0.0217,-0.0119,-0.1125,1677,Advanced,1780,-0.0437,-0.2415,0,1,3,32,7,37,8,39
9,4,43,-0.703,-0.1058,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,99,-3.452,-0.5376,30/08/2014 11:03,1,5,5,0,-0.0153,-0.0163,0,1801,Advanced,1780,-0.0328,-0.1626,0,1,3,47,7,48,8,49
7,4,68,-0.62,-0.1812,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,180,-0.934,-0.6393,30/08/2014 10:50,4,5,5,0,-0.0089,-0.0091,0,1917,World Class,1780,-0.0225,-0.3674,0,1,4,75,17,95,18,95
