"ACT","Conservative","Green","Labour","Mana","Maori","National","NZ_First","United Future","NatCoal","LabGreen","LabGreenMaori","LabGreenNZFirst","NatCoalNZFirst","Total"
1,0,7,41,0,5,53,17,0,59,48,53,65,76,124
1,0,7,45,1,3,54,13,0,58,52,55,65,71,124
0,0,10,43,1,3,49,15,0,52,53,56,68,67,121
1,0,7,40,1,3,56,14,0,60,47,50,61,74,122
1,0,8,38,1,4,51,19,0,56,46,50,65,75,122
1,0,8,44,0,2,53,13,0,56,52,54,65,69,121
0,0,9,41,1,4,56,12,0,60,50,54,62,72,123
1,0,12,37,0,4,57,11,0,62,49,53,60,73,122
1,0,7,45,1,2,52,13,0,55,52,54,65,68,121
0,0,0,51,1,2,58,10,0,60,51,53,61,70,122
1,0,8,42,1,3,55,12,0,59,50,53,62,71,122
1,0,10,41,1,4,50,15,0,55,51,55,66,70,122
1,0,9,40,1,2,50,18,0,53,49,51,67,71,121
1,0,7,42,0,3,54,15,0,58,49,52,64,73,122
1,0,10,41,0,4,51,16,0,56,51,55,67,72,123
1,0,11,42,0,4,52,11,0,57,53,57,64,68,121
1,0,0,48,1,4,53,14,0,58,48,52,62,72,121
1,0,8,42,1,3,52,15,0,56,50,53,65,71,122
1,0,7,46,0,3,54,11,0,58,53,56,64,69,122
3,0,0,43,0,2,58,14,0,63,43,45,57,77,120
0,0,8,44,0,2,50,16,0,52,52,54,68,68,120
1,0,7,39,1,1,60,13,0,62,46,47,59,75,122
1,0,0,47,0,5,57,13,0,63,47,52,60,76,123
1,0,10,41,0,2,59,8,0,62,51,53,59,70,121
0,0,7,43,1,5,58,10,0,63,50,55,60,73,124
1,0,8,45,0,2,52,13,0,55,53,55,66,68,121
1,0,9,41,0,4,54,12,0,59,50,54,62,71,121
0,0,0,52,0,3,57,9,0,60,52,55,61,69,121
0,0,0,51,1,5,55,11,0,60,51,56,62,71,123
1,0,0,47,1,4,55,13,0,60,47,51,60,73,121
1,0,9,41,3,3,52,13,0,56,50,53,63,69,122
1,0,8,41,1,2,53,16,0,56,49,51,65,72,122
1,0,8,42,1,5,50,16,0,56,50,55,66,72,123
0,0,0,49,1,4,55,14,0,59,49,53,63,73,123
1,0,8,39,1,3,60,11,0,64,47,50,58,75,123
2,0,9,41,0,2,54,13,0,58,50,52,63,71,121
1,0,8,41,1,4,52,16,0,57,49,53,65,73,123
2,0,13,31,1,2,59,13,0,63,44,46,57,76,121
1,0,7,45,0,2,54,12,0,57,52,54,64,69,121
1,0,0,46,1,3,61,10,0,65,46,49,56,75,122
1,0,8,44,0,2,51,15,0,54,52,54,67,69,121
1,0,10,44,1,4,50,13,0,55,54,58,67,68,123
2,0,8,40,0,4,54,13,0,60,48,52,61,73,121
1,0,7,45,1,2,51,15,0,54,52,54,67,69,122
1,0,6,47,1,3,54,10,0,58,53,56,63,68,122
5,0,9,40,0,4,52,13,0,61,49,53,62,74,123
0,0,6,45,1,3,56,10,0,59,51,54,61,69,121
0,0,6,46,0,4,52,14,0,56,52,56,66,70,122
1,0,7,47,0,3,53,12,0,57,54,57,66,69,123
3,0,9,43,0,5,50,12,0,58,52,57,64,70,122
1,0,8,44,1,2,54,11,0,57,52,54,63,68,121
1,0,14,35,0,2,56,12,0,59,49,51,61,71,120
0,0,10,33,1,4,58,16,0,62,43,47,59,78,122
1,0,8,40,0,5,55,13,0,61,48,53,61,74,122
0,0,8,42,1,4,56,13,0,60,50,54,63,73,124
0,0,9,39,1,2,55,15,0,57,48,50,63,72,121
1,0,7,42,0,2,53,16,0,56,49,51,65,72,121
1,0,8,41,0,5,59,10,0,65,49,54,59,75,124
1,0,7,46,0,4,50,15,0,55,53,57,68,70,123
1,0,8,40,0,4,58,12,0,63,48,52,60,75,123
1,0,9,42,1,3,55,12,0,59,51,54,63,71,123
1,0,8,41,0,4,53,15,0,58,49,53,64,73,122
0,0,6,46,0,4,53,12,0,57,52,56,64,69,121
1,0,7,45,1,5,50,15,0,56,52,57,67,71,124
1,0,9,41,0,3,59,9,0,63,50,53,59,72,122
1,0,8,45,0,4,48,17,0,53,53,57,70,70,123
1,0,7,39,0,3,54,17,0,58,46,49,63,75,121
1,0,8,45,1,2,52,12,0,55,53,55,65,67,121
1,0,7,46,0,3,52,13,0,56,53,56,66,69,122
1,0,7,43,0,4,54,13,0,59,50,54,63,72,122
1,0,9,45,1,3,52,12,0,56,54,57,66,68,123
1,0,9,41,0,4,56,10,0,61,50,54,60,71,121
1,0,10,40,1,3,51,16,0,55,50,53,66,71,122
1,0,7,42,1,3,53,15,0,57,49,52,64,72,122
1,0,12,38,1,2,54,14,0,57,50,52,64,71,122
1,0,8,43,1,3,51,17,0,55,51,54,68,72,124
1,0,11,39,0,3,55,11,0,59,50,53,61,70,120
1,0,7,43,0,4,54,13,0,59,50,54,63,72,122
1,0,10,39,1,4,54,16,0,59,49,53,65,75,125
1,0,10,39,1,1,57,12,0,59,49,50,61,71,121
1,0,9,42,0,4,50,17,0,55,51,55,68,72,123
2,0,7,43,0,2,54,13,0,58,50,52,63,71,121
0,0,7,44,0,4,55,13,0,59,51,55,64,72,123
1,0,7,48,0,2,49,15,0,52,55,57,70,67,122
2,0,8,44,1,4,51,13,0,57,52,56,65,70,123
1,0,10,38,0,2,55,16,0,58,48,50,64,74,122
0,0,0,46,0,4,61,11,0,65,46,50,57,76,122
1,0,8,41,0,3,51,18,0,55,49,52,67,73,122
1,0,9,46,1,3,50,12,0,54,55,58,67,66,122
0,0,10,43,1,3,51,14,0,54,53,56,67,68,122
1,0,9,40,1,5,55,14,0,61,49,54,63,75,125
