"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"December 28, 2017",Texas,Beaumont,"3025 Washington Blvd",1,0,N/A
"December 28, 2017",Delaware,"New Castle","113 Parma Ave",1,0,N/A
"December 28, 2017",Virginia,Fredericksburg,"Heron Drive",1,1,N/A
"December 28, 2017",Illinois,Dolton,"733 E 142nd St",1,1,N/A
"December 28, 2017","District of Columbia",Washington,"800 block of Adrian Pl SE",1,0,N/A
"December 28, 2017","District of Columbia",Washington,"950 Eastern Ave NE",1,0,N/A
"December 28, 2017",California,Selma,"Country Rose Ln",1,0,N/A
"December 28, 2017",Alabama,Demopolis,"1500 block of Queensbury Ln",1,0,N/A
"December 28, 2017","South Carolina",Winnsboro,"SC 200",2,0,N/A
"December 28, 2017",Ohio,Columbus,"4790 Hilton Corporate Dr",1,1,N/A
"December 28, 2017","New York",Buffalo,"100 block of E Amherst St",1,1,N/A
"December 28, 2017",Maryland,"Capitol Heights","Kenilworth Ave and Eastern Ave NE",1,0,N/A
"December 28, 2017",Pennsylvania,Philadelphia,"1200 block of Brandywine St",1,0,N/A
"December 28, 2017","New York",Bronx,"Truxton St and Worthen St",1,0,N/A
"December 28, 2017",Pennsylvania,Boyertown,"114 Cleaver School Rd",1,0,N/A
"December 28, 2017",Pennsylvania,Dover,"3800 block of Kings Ln",1,0,N/A
"December 28, 2017",Florida,"West Palm Beach","822 S 3rd St",2,0,N/A
"December 28, 2017",Nevada,"Las Vegas","2200 block of Carroll St",3,0,N/A
"December 28, 2017","New York",Bronx,"1703 Bronxdale Ave",1,1,N/A
"December 28, 2017",Illinois,Chicago,"400 S Kilpatrick Ave",1,0,N/A
"December 28, 2017",Ohio,Columbus,"1913 Lockbourne Rd",1,0,N/A
"December 28, 2017",Georgia,"Stone Mountain","5800 Block of Memorial Dr",1,0,N/A
"December 28, 2017",Michigan,Detroit,"Promenade St",1,0,N/A
"December 28, 2017",Florida,Tampa,"3811 N Cortez Cir",1,0,N/A
"December 28, 2017",Alabama,Brierfield,"12772 Montevallo Rd",1,0,N/A
"December 28, 2017",California,"Los Angeles","4200 block of S. Corinth Avenue",1,0,N/A
"December 28, 2017",Florida,Miami,"NW 62nd Ln and NW 12th Ave",1,0,N/A
"December 28, 2017",Texas,Greenville,"4200 block of Pickett St",1,0,N/A
"December 28, 2017",California,Compton,"100 block of E Caldwell Ave",2,0,N/A
"December 28, 2017",Missouri,Independence,"1400 block of N Osage St",1,0,N/A
"December 27, 2017",Kansas,Lawrence,"2310 W 26th St",1,0,N/A
"December 27, 2017",Florida,Sanford,"Terry Ln and Scott Dr",1,0,N/A
"December 27, 2017",Ohio,Cincinnati,"7701 Reading Rd",1,0,N/A
"December 27, 2017",Colorado,"Colorado Springs","3020 N Nevada Ave",1,0,N/A
"December 27, 2017",Pennsylvania,Philadelphia,"Nedro St and Opal St",1,0,N/A
"December 27, 2017",Nevada,"Las Vegas","3750 E Bonanza Rd",2,2,N/A
"December 27, 2017",Virginia,Chester,"Rivers Bend Blvd and Sunset Blvd",1,0,N/A
"December 27, 2017",Florida,Miami,"NE Miami Pl and 58th St",1,0,N/A
"December 27, 2017",Kentucky,Louisville,"4700 Strawberry Ln",1,0,N/A
"December 27, 2017",Texas,"San Antonio","5000 block of Sunset Glade",2,0,N/A
"December 27, 2017",California,"San Jose","2500 block of Van Winkle Ln",1,0,N/A
"December 27, 2017",Missouri,"Saint Louis","5700 block of Goodfellow Pl",1,0,N/A
"December 27, 2017",California,"Spring Valley","Concepcion Ave and San Francisco St",1,0,N/A
"December 27, 2017",Louisiana,Carencro,"800 block of Highway 1252",1,0,N/A
"December 27, 2017",Illinois,Chicago,"4800 S Michigan Ave",1,0,N/A
"December 27, 2017",Illinois,Chicago,"400 N Springfield Ave",1,0,N/A
"December 27, 2017","District of Columbia",Washington,"1860 Bryant St NE",1,0,N/A
"December 27, 2017",Maryland,Baltimore,"200 block of N Monastery Ave",1,0,N/A
"December 27, 2017",Alabama,Mobile,"3170 Dauphin Street",1,0,N/A
"December 27, 2017",Alabama,"Phenix City","100 block of Ware Rd",1,0,N/A
"December 27, 2017",Pennsylvania,Phoenixville,"218 Nutt Rd",1,0,N/A
"December 27, 2017",Arkansas,"Little Rock","8101 41st Street",1,0,N/A
"December 27, 2017",Michigan,Detroit,"12800 block of W Chicago",1,0,N/A
"December 27, 2017",Oklahoma,"Oklahoma City","2201 NW 122nd St",1,1,N/A
"December 26, 2017",Missouri,"Kansas City","600 block of Spruce Ave",1,1,N/A
"December 26, 2017",Florida,Jacksonville,"E Union St and Ionia St",1,0,N/A
"December 26, 2017",Indiana,Merrillville,"2400 W 61st Pl",2,0,N/A
"December 26, 2017",Georgia,Augusta,"1900 Block of Kratha Dr",1,0,N/A
"December 26, 2017",Virginia,"Newport News","500 block of Logan Pl",1,0,N/A
"December 26, 2017",Ohio,Columbus,"1000 block of Olmstead Ave",1,0,N/A
"December 26, 2017",Nebraska,Omaha,"3912 North 37th Street",3,0,N/A
"December 26, 2017",Illinois,Wilmington,"1800 S Water St",1,0,N/A
"December 26, 2017",California,"Desert Hot Springs","13400 block of Cielo Azul Way",1,0,N/A
"December 26, 2017",California,"Los Angeles","1100 block W 110th St",1,0,N/A
"December 26, 2017",California,"Big Bear Lake","41100 block of Lahontan Dr",1,0,N/A
"December 26, 2017",Alaska,Anchorage,"5600 Kennyhill Dr",1,0,N/A
"December 26, 2017","New Mexico",Roswell,"3800 block of E Pine Lodge Rd",1,0,N/A
"December 26, 2017",Maryland,Baltimore,"3700 block of Arcadia Ave",1,0,N/A
"December 26, 2017","New Mexico","Silver City","1000 Slag Rd",1,1,N/A
"December 26, 2017",Washington,Spokane,"1616 W Northwest Blvd",1,0,N/A
"December 26, 2017",California,Sacramento,"Academy Way",1,0,N/A
"December 26, 2017",Pennsylvania,Philadelphia,"5300 block of Greene St",1,0,N/A
"December 26, 2017",Tennessee,"Weakley (county)","300 block of State Line Road",1,0,N/A
"December 26, 2017","District of Columbia",Washington,"2200 block of Douglas St NE",1,0,N/A
"December 26, 2017",Maryland,Baltimore,"600 block of E 38th St",1,0,N/A
"December 26, 2017",Arkansas,"Hermitage (Johnsville)",N/A,1,0,N/A
"December 26, 2017",Mississippi,Mccomb,"South Locust Street",1,0,N/A
"December 26, 2017",Indiana,"Indianapolis (Lawrence)","8989 Pendleton Pike",1,0,N/A
"December 26, 2017",Kentucky,Lexington,"5900 block of Tates Creek Road",1,0,N/A
"December 26, 2017",Ohio,Akron,"1012 Hammel St",1,0,N/A
"December 26, 2017",California,Tulare,"Spruce St and Stockham St",1,0,N/A
"December 26, 2017",Louisiana,"Gretna (Terrytown)","900 block of Monterey Court West",1,0,N/A
"December 26, 2017",Maryland,"Hyattsville (Chillum)","6200 block of Sligo Pkwy",1,0,N/A
"December 26, 2017",Maryland,"Upper Marlboro (Largo)","Capital Ln and Capital Ct",1,0,N/A
"December 26, 2017",Alabama,"Birmingham (Hoover)","2250 Little Valley Rd",1,0,N/A
"December 26, 2017",Ohio,Warren,"Main Ave and 2nd St SW",1,1,N/A
"December 26, 2017",Pennsylvania,"Pittsburgh (Swissvale)","1913 Columbia Ave",2,2,N/A
"December 26, 2017",Illinois,Chicago,"13200 S Langley Ave",1,0,N/A
"December 26, 2017",Texas,Houston,"8341 Veterans Memorial Dr",1,0,N/A
"December 26, 2017",Texas,"Dallas (Farmers Branch)","2800 block of Valley View Ln",1,1,N/A
"December 26, 2017",Virginia,Richmond,"1500 block of Carlisle Ave",1,0,N/A
"December 26, 2017","New York",Bronx,"Sheridan Ave and Marcy Pl",1,0,N/A
"December 26, 2017",Indiana,Mishawaka,"4312 N Hickory Rd",1,0,N/A
"December 26, 2017",Oregon,Boring,"13200 block of SE 312th Dr",1,0,N/A
"December 26, 2017",Alabama,"Birmingham (Ensley)","1609 30th Street",2,0,N/A
"December 26, 2017",Tennessee,Portland,"127 Hollands Way",1,0,N/A
"December 26, 2017",Nevada,"Las Vegas","Washington Avenue and Rancho Drive",2,0,N/A
"December 25, 2017",Florida,Orlando,"Washington Ave",1,1,N/A
"December 25, 2017",Kansas,Leavenworth,"500 block of Vilas St",1,0,N/A
"December 25, 2017",Alabama,Birmingham,"1600 block of 30th Street",2,0,N/A
"December 25, 2017",Mississippi,Lena,"Riverbend Road",1,0,N/A
"December 25, 2017",California,Greenfield,"200 block of 4th St",1,0,N/A
"December 25, 2017",Oklahoma,Tulsa,"11th and Wheeling",1,0,N/A
"December 25, 2017",Virginia,Richmond,"2517 W Tremont Ct",1,0,N/A
"December 25, 2017",California,Stockton,"Lincoln St and Lafayette St",1,0,N/A
"December 25, 2017",Missouri,"Saint Louis","Northwinds Estates Dr",1,0,N/A
"December 25, 2017",Missouri,"Saint Louis","9600 block of Newton Dr",1,0,N/A
"December 25, 2017",California,Bellflower,"9100 block of Rosecrans Avenue",1,1,N/A
"December 25, 2017",California,Ontario,"1300 block of North Vine Ave",1,0,N/A
"December 25, 2017","New York",Hempstead,"Terrace Ave",1,0,N/A
"December 25, 2017",Illinois,Decatur,"1600 N 32nd St",1,0,N/A
"December 25, 2017",California,Fairfield,"1000 block of Second Street",1,0,N/A
"December 25, 2017",Oklahoma,"Fort Cobb",N/A,1,0,N/A
"December 25, 2017",California,"Oroville (Butte Valley)","2920 Clark Rd",1,0,N/A
"December 25, 2017",Texas,Austin,"6600 Ed Bluestein Blvd",1,0,N/A
"December 25, 2017",Louisiana,"New Orleans","3300 block of First Street",1,0,N/A
"December 25, 2017",Florida,"Palm Coast","4 Seward Trl",1,0,N/A
"December 25, 2017",Mississippi,Utica,"3034 Flint Young Road",1,0,N/A
"December 25, 2017","New York",Rochester,"Genesee St and Kirkland Rd",1,0,N/A
"December 25, 2017","South Carolina",Florence,"100 block of Liberty St",1,1,N/A
"December 25, 2017",Texas,Houston,"13100 block of Hillcroft Ave",1,1,N/A
"December 25, 2017",Ohio,Cleveland,"W 44th St and Carlyle Ave",1,0,N/A
"December 25, 2017",Louisiana,Monroe,"McKeen Place",1,0,N/A
"December 25, 2017",Illinois,Chicago,"8100 S Wabash Ave",1,0,N/A
"December 25, 2017",Pennsylvania,Allentown,"1900 block of Jonathan St",1,0,N/A
"December 25, 2017",Arkansas,Scott,"3100 block of Johnson Road",1,1,N/A
"December 25, 2017",Florida,Miami,"NW 1st St and NW 8th Ave",1,0,N/A
"December 25, 2017",Indiana,Noblesville,"11200 E 191st St",3,0,N/A
"December 25, 2017",Washington,Yakima,"20 N 1st St",1,0,N/A
"December 25, 2017",Washington,Yakima,"300 block of W Pierce St",1,0,N/A
"December 25, 2017",Arizona,Phoenix,"S Central Ave and W St Catherine Ave",1,0,N/A
"December 25, 2017",Kansas,"Kansas City","Richmond Ave and N 17th St",1,1,N/A
"December 25, 2017",Arizona,Phoenix,"1601 East Highland Avenue",3,1,N/A
"December 24, 2017",California,"Los Angeles","8100 block of De Soto Ave",1,0,N/A
"December 24, 2017","North Carolina","High Point","709 Garrison St",1,1,N/A
"December 24, 2017",Texas,Houston,"Lauder Rd and Homestead Rd",1,1,N/A
"December 24, 2017",Virginia,Charlottesville,"1700 block Monticello Rd",2,0,N/A
"December 24, 2017",Tennessee,"New Johnsonville","Highway 70 East",2,0,N/A
"December 24, 2017",Massachusetts,Boston,"150 Wellington Hill St",1,0,N/A
"December 24, 2017",California,"San Pablo","2900 block of Rollingwood Dr",1,0,N/A
"December 24, 2017","New Jersey","Old Bridge",N/A,2,0,N/A
"December 24, 2017","North Carolina",Wilmington,"115 Silver Lake Rd",1,0,N/A
"December 24, 2017",Texas,Weslaco,"Encino Dr",1,0,N/A
"December 24, 2017",Texas,Kilgore,N/A,1,0,N/A
"December 24, 2017",Ohio,Cleveland,"600 block of E 115th St",1,0,N/A
"December 24, 2017",Alabama,Troy,"100 block of Chapman St",1,4,N/A
"December 24, 2017",Missouri,"Kansas City","Garfield Ave and Lexington Ave",1,0,N/A
"December 24, 2017",Illinois,Monmouth,"118 W 4th Ave",1,0,N/A
"December 24, 2017","South Carolina","Lake City","709 N Georgetown Rd",1,0,N/A
"December 24, 2017",Maryland,"Coltons Point","38000 block of Dukeharts Creek Rd",1,0,N/A
"December 24, 2017",Maryland,"Silver Spring","1010 Quebec Ter",1,0,N/A
"December 24, 2017",Mississippi,Robinsonville,"13132 N Hwy 61",1,1,N/A
"December 24, 2017",Florida,Jacksonville,"Lancashire Dr",1,0,N/A
"December 24, 2017",Missouri,Joplin,"627 S Byers Ave",1,1,N/A
"December 24, 2017",Louisiana,"New Orleans","1800 block of St. Ann Street",1,1,N/A
"December 24, 2017",Maryland,Baltimore,"200 block of S Monastery Ave",1,0,N/A
"December 24, 2017","New Jersey",Keyport,"179 Hilltop Boulevard",2,0,N/A
"December 24, 2017",Arizona,Phoenix,"E Yale St and N 16th St",1,0,N/A
"December 24, 2017",Mississippi,Kosciusko,"125 Cannonade St",1,0,N/A
"December 24, 2017",Ohio,Cleveland,"2800 block of E 117th St",1,0,N/A
"December 24, 2017",Alabama,Cullman,"821 County Road 992",1,0,N/A
"December 24, 2017","New York",Syracuse,"405 Temple St",1,0,N/A
"December 24, 2017","North Carolina",Belhaven,"Beach Ridge Rd",1,0,N/A
"December 24, 2017","North Carolina","High Point","Apex Pl and Worth St",1,0,N/A
"December 24, 2017",Louisiana,Kenner,"200 block of Clemson Pl",1,0,N/A
"December 24, 2017","New Jersey",Newark,"S 15th St",1,0,N/A
"December 24, 2017",Alaska,Fairbanks,"Steese Hwy and Johansen Expwy",1,0,N/A
"December 24, 2017",Virginia,"Colonial Heights","500 block of Riverview Rd",1,0,N/A
"December 24, 2017",California,Modesto,"10th St and I St",1,1,N/A
"December 24, 2017",Texas,Lufkin,"Tripletree St",1,0,N/A
"December 24, 2017",Texas,Irving,"200 block of Red River Trail",1,0,N/A
"December 23, 2017",Texas,"Wichita Falls","4500 block of Mourning Dove Lane",2,0,N/A
"December 23, 2017",Georgia,Tifton,"Timmons Dr",1,0,N/A
"December 23, 2017",Alabama,Birmingham,"17th Avenue North and 32nd Place North",1,0,N/A
"December 23, 2017",Oregon,Oakridge,"Teller Rd",1,0,N/A
"December 23, 2017",Connecticut,Bridgeport,"717 Kossuth St",1,0,N/A
"December 23, 2017",Pennsylvania,Philadelphia,"3000 block of Agate St",1,0,N/A
"December 23, 2017",Massachusetts,Boston,"Lenoxdale Ave and Hill Top St",1,0,N/A
"December 23, 2017",Maryland,Nanjemoy,"8300 block of Bowie Rd",1,0,N/A
